Nama Jabatan,Instansi Pengampu,Level Pemerintahan,,,,,,,,
Kepala Pusat Pengkajian dan Pengembangan Kebijakan Multilateral,Tertentu (Kemenlu),Pemerintah Pusat,,,,,,,,
Kepala Pusat Peningkatan Mutu Sumber Daya Manusia Kesehatan,Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Kepala Pusat Perencanaan Kepegawaian dan Formasi,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Kepala Satuan Pengawas Intern,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Satuan Polisi Pamong Praja,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Unsur Pelaksana Badan Penanggulangan Bencana Daerah,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala UPT Perpustakaan,Tertentu (Perpusnas),Pemerintah Pusat,,,,,,,,
Kepala/Wakil Badan Pendapatan Daerah (Pajak dan Retribusi Daerah),Instansi Daerah,Pemerintah Daerah,,,,,,,,
Sekretaris Badan Pengkajian dan Pengembangan Kebijakan,Instansi Pusat,Pemerintah Pusat,,,,,,,,
Sekretaris Daerah,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Sekretaris Deputi Bidang Koordinasi Infrastruktur Dan Transportasi,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Sekretaris Deputi Bidang Koordinasi Pariwisata Dan Ekonomi Kreatif,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Sekretaris Deputi Bidang Koordinasi Pengelolaan Lingkungan Dan Kehutanan,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Sekretaris Dewan Perwakilan Rakyat Daerah,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Sekretaris Direktorat Jenderal Hubungan Hukum Keagrariaan,Tertentu (Kementerian Agraria dan Tata Ruang),Pemerintah Pusat,,,,,,,,
